館別,展覽名稱,展覽日期,start_date,end_date,is_permanent,展覽主題,展覽連結,展覽圖片,展覽地點,展覽時間,展覽類別,備註
松山文創園區,松山文創園區- 12月展演攻略,2025-12-01 - 2025-12-31,2025-12-01,2025-12-31,0,,https://www.songshanculturalpark.org/exhibition/activity/757e4366-eb9c-4bf5-b199-c41487afb885,https://www.songshanculturalpark.org/gallery/1642315429_0ef7808505cdd3fc41cb.jpg,松山文創園區,,,
松山文創園區,2025 觀光產業數位博覽會 台北場 TAIWAN TOUR TECH WONDERLAND,2025-12-02 - 2025-12-03,2025-12-02,2025-12-03,0,,https://www.songshanculturalpark.org/exhibition/activity/6c8a4c22-aba6-43a8-8a90-772e5ec45d0e,https://www.songshanculturalpark.org/gallery/1763709687_710b981f320912c0ece4.png,松山文創園區 5 號倉庫,,,
松山文創園區,台灣角川-2025 年終感謝祭,2025-12-05 - 2025-12-08,2025-12-05,2025-12-08,0,,https://www.songshanculturalpark.org/exhibition/activity/36df12c3-4200-4c3a-bb66-65f95f75d594,https://www.songshanculturalpark.org/gallery/1763949507_bc8f872a9734845e567b.jpg,南向製菸工廠一樓,,,
松山文創園區,2025 第八屆 台北插畫藝術節「下輩子我想當隻貓」,2025-12-05 - 2025-12-07,2025-12-05,2025-12-07,0,,https://www.songshanculturalpark.org/exhibition/activity/86042353-b696-42d9-a5b2-7cbef0ae7069,https://www.songshanculturalpark.org/gallery/1764829168_9d72d4dc57ccc180d29c.jpg,北向製菸工廠,,,
松山文創園區,From Dream to Impact｜未來的樣子由你定義 青年公益實踐計畫 X 國際青年永續年會,2025-12-06 - 2025-12-06,2025-12-06,2025-12-06,0,,https://www.songshanculturalpark.org/exhibition/activity/7e59d40c-c3b6-4f5f-8248-7ebb4ffdba1e,https://www.songshanculturalpark.org/gallery/1764573586_698689a1aad67aebf887.jpg,松山文創園區 1 號倉庫,,,
松山文創園區,台灣第一植物界市集 Taiwan Top Plant Fair 第七屆 Planty Holiday,2025-12-06 - 2025-12-07,2025-12-06,2025-12-07,0,,https://www.songshanculturalpark.org/exhibition/activity/8eb2afa8-7963-4840-9579-1a5bfc3881ad,https://www.songshanculturalpark.org/gallery/1764830229_d2627f625a94f2a2b09e.jpg,松山文創園區 2、3 號倉庫,,,
松山文創園區,毛孩と共享聖誕溫度,2025-12-03 - 2025-12-14,2025-12-03,2025-12-14,0,,https://www.songshanculturalpark.org/exhibition/activity/6869a549-b1d1-4002-8d26-41823fa82d2c,https://www.songshanculturalpark.org/gallery/1763086916_f67a5dd5d4b39cb75ef1.jpg,松山文創園區 藝思空間,,,
松山文創園區,第三屆安井顯太玻璃藝術四十年集大成展,2025-12-06 - 2025-12-14,2025-12-06,2025-12-14,0,,https://www.songshanculturalpark.org/exhibition/activity/9b646911-0b37-4d9b-b50a-98890317edc1,https://www.songshanculturalpark.org/gallery/1764231508_8b5f31126c837d8870d1.jpg,藝巷空間,,,
松山文創園區,iF 健康講座｜提昇睡眠品質 by 臻品植萃 陳勇利博士,2025-12-11 - 2025-12-11,2025-12-11,2025-12-11,0,,https://www.songshanculturalpark.org/exhibition/activity/b7fd56fe-3d61-4e72-9b45-d352c26e96cf,https://www.songshanculturalpark.org/gallery/1764233992_ece5416f33e0b578f2fa.jpg,iF 台北設計沙龍 松山文創園區 西向製菸工廠二樓,,,
松山文創園區,《 作東 ◎ 東作 》go East ↗︎  國立東華大學 藝術創意產業學系 115 級畢業總展,2025-12-11 - 2025-12-14,2025-12-11,2025-12-14,0,,https://www.songshanculturalpark.org/exhibition/activity/99104ab2-7550-4519-9a3d-34c8806f70a1,https://www.songshanculturalpark.org/gallery/1764232409_5401280e2d1b071582f7.jpg,南向製菸工廠 1F 東側,,,
松山文創園區,(NI)CHE 5th「PROMISED LAND」Exhibition 集結國內外設計師品牌聯合展,2025-12-12 - 2025-12-14,2025-12-12,2025-12-14,0,,https://www.songshanculturalpark.org/exhibition/activity/7f3bc3b3-7969-436c-b085-7748df9fb877,https://www.songshanculturalpark.org/gallery/1764838740_d608cf7d03ca76664091.jpg,松山文創園區 1 號倉庫,,,
松山文創園區,2025CCCE 全國科藝電競大賽,2025-12-13 - 2025-12-14,2025-12-13,2025-12-14,0,,https://www.songshanculturalpark.org/exhibition/activity/ed2a4ea9-3c47-441a-bb33-e5094e5f1560,https://www.songshanculturalpark.org/gallery/1764572661_2a80e9e12acc3d8aec1a.jpg,松山文創園區 2、3 號倉庫,,,
松山文創園區,國際藝文展：藝視界,2025-12-18 - 2025-12-21,2025-12-18,2025-12-21,0,,https://www.songshanculturalpark.org/exhibition/activity/0ca40ad4-0221-40a2-968f-31522305149c,https://www.songshanculturalpark.org/gallery/1764233213_7a2dc40e3ae3fcfe9248.jpg,南向製菸工廠,,,
松山文創園區,小鳥時光 4.0 MerryChristmasXMagic,2025-12-19 - 2025-12-21,2025-12-19,2025-12-21,0,,https://www.songshanculturalpark.org/exhibition/activity/6baf6df0-93ff-4612-914b-b560033aa400,https://www.songshanculturalpark.org/gallery/1762764430_ef597598b3513aec05ce.jpg,松山文創園區-創意空間,,,
松山文創園區,《史努比雪夜聖誕派對》花生漫畫 75 週年快閃輕食店,2025-11-22 - 2025-12-28,2025-11-22,2025-12-28,0,,https://www.songshanculturalpark.org/exhibition/activity/cbaab222-4ca7-4d2f-a3c2-efc1aa275518,https://www.songshanculturalpark.org/gallery/1764657432_c0e99dd5974bceafbd7d.jpg,松山文創園區 男澡堂,,,
